Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;V_weighted;EFA_weighted;AmbientCondPattern;EFA_WTT_weighted;EFA_WTW_weighted
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;RUR/MW/80/Freeflow;0%;82.8160553;0.007480651;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;RUR/MW/80/St+Go;0%;15.47382641;0.022407649;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;RUR/MW/90/Freeflow;0%;92.8160553;0.008565054;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;RUR/MW/90/St+Go;0%;17.92079926;0.020190721;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;RUR/MW/100/Freeflow;0%;102.0329514;0.009114839;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;RUR/MW/100/St+Go;0%;17.92079926;0.020189494;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;RUR/MW/110/Freeflow;0%;112.0319519;0.010242535;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;RUR/MW/110/St+Go;0%;17.91894531;0.020198572;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;RUR/MW/120/Freeflow;0%;122.028183;0.011916962;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;RUR/MW/120/St+Go;0%;17.91272163;0.02016912;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;RUR/MW/130/Freeflow;0%;132.6252441;0.015109868;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;RUR/MW/130/St+Go;0%;17.91829681;0.020188019;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;RUR/MW/>130/Freeflow;0%;142.7671356;0.025177279;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;RUR/MW/>130/St+Go;0%;17.91503143;0.020191479;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;RUR/Semi-MW/90/Freeflow;0%;87.65525055;0.008667408;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;RUR/Semi-MW/90/St+Go;0%;17.92082596;0.020184191;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;RUR/Semi-MW/110/Freeflow;0%;106.9743805;0.010766623;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;RUR/Semi-MW/110/St+Go;0%;17.92167854;0.020168407;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;RUR/Trunk/60/Freeflow;0%;62.06891251;0.00883295;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;RUR/Trunk/60/St+Go;0%;13.27647781;0.02485037;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/70/Freeflow;0%;71.14550781;0.009685623;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/70/St+Go;0%;14.3998003;0.023184814;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/Freeflow;0%;79.04334259;0.007471068;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/80/St+Go;0%;15.47643852;0.022391768;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/90/Freeflow;0%;87.65524292;0.008656757;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/90/St+Go;0%;15.46758938;0.022404406;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/100/Freeflow;0%;96.42288208;0.009165738;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/100/St+Go;0%;17.92234802;0.020154255;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/110/Freeflow;0%;106.9743881;0.010750962;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Trunk/110/St+Go;0%;17.92167664;0.020148866;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;RUR/Distr/50/Freeflow;0%;48.92251587;0.009032943;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;RUR/Distr/50/St+Go;0%;12.48863316;0.022639077;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;RUR/Distr/60/Freeflow;0%;57.92692184;0.008196844;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;RUR/Distr/60/St+Go;0%;13.26994896;0.024864675;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Distr/70/Freeflow;0%;66.94026947;0.008649617;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Distr/70/St+Go;0%;14.39981937;0.023182588;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Distr/80/Freeflow;0%;76.14311218;0.009138564;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Distr/80/St+Go;0%;15.47382545;0.022393307;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Distr/90/Freeflow;0%;85.07943726;0.009602622;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Distr/90/St+Go;0%;15.47585964;0.022394555;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Distr/100/Freeflow;0%;94.01980591;0.010924222;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Distr/100/St+Go;0%;17.92866898;0.020176437;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;RUR/Distr-sin./50/Freeflow;0%;43.20864868;0.01117633;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;RUR/Distr-sin./50/St+Go;0%;12.48864937;0.022638908;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;RUR/Distr-sin./60/Freeflow;0%;51.42959213;0.00996245;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;RUR/Distr-sin./60/St+Go;0%;14.40655231;0.020062122;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Distr-sin./70/Freeflow;0%;60.36349487;0.009453313;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Distr-sin./70/St+Go;0%;14.41265392;0.020070508;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Distr-sin./80/Freeflow;0%;68.63939667;0.010199022;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Distr-sin./80/St+Go;0%;14.92584324;0.021135399;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Distr-sin./90/Freeflow;0%;76.74364471;0.011105799;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Distr-sin./90/St+Go;0%;14.9257946;0.021136358;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Distr-sin./100/Freeflow;0%;85.00469208;0.011774783;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Rural;RUR/Distr-sin./100/St+Go;0%;14.92111874;0.021131335;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;RUR/Local/50/Freeflow;0%;46.53010559;0.011706702;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;RUR/Local/50/St+Go;0%;12.48567963;0.022641964;ØGermany;;
